Developer,Release,Commits
Pawel Kozlowski,19.2.3,814
Pawel Kozlowski,19.2.0-rc.0,808
Pawel Kozlowski,19.2.1,811
Pawel Kozlowski,19.2.2,811
Pawel Kozlowski,20.0.0-next.1,812
Pawel Kozlowski,20.0.0-next.3,820
Pawel Kozlowski,19.2.0,810
Pawel Kozlowski,19.1.8,804
Pawel Kozlowski,20.0.0-next.0,810
Pawel Kozlowski,20.0.0-next.2,813
Pawel Kozlowski,19.1.3,248
Pawel Kozlowski,19.1.6,261
Pawel Kozlowski,19.1.7,262
Pawel Kozlowski,19.1.5,261
Pawel Kozlowski,19.2.0-next.2,266
Pawel Kozlowski,19.2.0-next.1,261
Pawel Kozlowski,19.2.0-next.3,266
Pawel Kozlowski,19.1.4,256
Pawel Kozlowski,19.2.0-next.0,254
Pawel Kozlowski,19.1.2,246
Alan Agius,19.2.3,690
Alan Agius,19.2.0-rc.0,686
Alan Agius,19.2.1,686
Alan Agius,19.2.2,686
Alan Agius,20.0.0-next.1,687
Alan Agius,20.0.0-next.3,698
Alan Agius,19.2.0,686
Alan Agius,19.1.8,686
Alan Agius,20.0.0-next.0,686
Alan Agius,20.0.0-next.2,690
Alan Agius,19.1.3,521
Alan Agius,19.1.6,525
Alan Agius,19.1.7,526
Alan Agius,19.1.5,524
Alan Agius,19.2.0-next.2,525
Alan Agius,19.2.0-next.1,520
Alan Agius,19.2.0-next.3,523
Alan Agius,19.1.4,527
Alan Agius,19.2.0-next.0,528
Alan Agius,19.1.2,524
Kristiyan Kostadinov,19.2.3,900
Kristiyan Kostadinov,19.2.0-rc.0,877
Kristiyan Kostadinov,19.2.1,888
Kristiyan Kostadinov,19.2.2,897
Kristiyan Kostadinov,20.0.0-next.1,900
Kristiyan Kostadinov,20.0.0-next.3,932
Kristiyan Kostadinov,19.2.0,886
Kristiyan Kostadinov,19.1.8,866
Kristiyan Kostadinov,20.0.0-next.0,887
Kristiyan Kostadinov,20.0.0-next.2,913
Kristiyan Kostadinov,19.1.3,745
Kristiyan Kostadinov,19.1.6,756
Kristiyan Kostadinov,19.1.7,764
Kristiyan Kostadinov,19.1.5,749
Kristiyan Kostadinov,19.2.0-next.2,762
Kristiyan Kostadinov,19.2.0-next.1,752
Kristiyan Kostadinov,19.2.0-next.3,766
Kristiyan Kostadinov,19.1.4,747
Kristiyan Kostadinov,19.2.0-next.0,751
Kristiyan Kostadinov,19.1.2,738
Jessica Janiuk,19.2.3,335
Jessica Janiuk,19.2.0-rc.0,322
Jessica Janiuk,19.2.1,328
Jessica Janiuk,19.2.2,332
Jessica Janiuk,20.0.0-next.1,329
Jessica Janiuk,20.0.0-next.3,336
Jessica Janiuk,19.2.0,324
Jessica Janiuk,19.1.8,320
Jessica Janiuk,20.0.0-next.0,326
Jessica Janiuk,20.0.0-next.2,333
Jessica Janiuk,19.1.3,314
Jessica Janiuk,19.1.6,315
Jessica Janiuk,19.1.7,319
Jessica Janiuk,19.1.5,315
Jessica Janiuk,19.2.0-next.2,316
Jessica Janiuk,19.2.0-next.1,316
Jessica Janiuk,19.2.0-next.3,317
Jessica Janiuk,19.1.4,315
Jessica Janiuk,19.2.0-next.0,315
Jessica Janiuk,19.1.2,314
Matthieu Riegler,19.2.3,663
Matthieu Riegler,19.2.0-rc.0,636
Matthieu Riegler,19.2.1,650
Matthieu Riegler,19.2.2,659
Matthieu Riegler,20.0.0-next.1,652
Matthieu Riegler,20.0.0-next.3,674
Matthieu Riegler,19.2.0,638
Matthieu Riegler,19.1.8,637
Matthieu Riegler,20.0.0-next.0,639
Matthieu Riegler,20.0.0-next.2,667
Matthieu Riegler,19.1.3,627
Matthieu Riegler,19.1.6,631
Matthieu Riegler,19.1.7,635
Matthieu Riegler,19.1.5,630
Matthieu Riegler,19.2.0-next.2,631
Matthieu Riegler,19.2.0-next.1,631
Matthieu Riegler,19.2.0-next.3,632
Matthieu Riegler,19.1.4,630
Matthieu Riegler,19.2.0-next.0,627
Matthieu Riegler,19.1.2,627
Paul Gschwendtner,19.2.3,1407
Paul Gschwendtner,19.2.0-rc.0,1397
Paul Gschwendtner,19.2.1,1397
Paul Gschwendtner,19.2.2,1402
Paul Gschwendtner,20.0.0-next.1,1397
Paul Gschwendtner,20.0.0-next.3,1407
Paul Gschwendtner,19.2.0,1397
Paul Gschwendtner,19.1.8,1397
Paul Gschwendtner,20.0.0-next.0,1397
Paul Gschwendtner,20.0.0-next.2,1402
Paul Gschwendtner,19.1.3,982
Paul Gschwendtner,19.1.6,983
Paul Gschwendtner,19.1.7,979
Paul Gschwendtner,19.1.5,979
Paul Gschwendtner,19.2.0-next.2,981
Paul Gschwendtner,19.2.0-next.1,962
Paul Gschwendtner,19.2.0-next.3,962
Paul Gschwendtner,19.1.4,983
Paul Gschwendtner,19.2.0-next.0,1001
Paul Gschwendtner,19.1.2,986
Jan Martin,19.2.3,2
Jan Martin,19.2.0-rc.0,1
Jan Martin,19.2.1,1
Jan Martin,19.2.2,1
Jan Martin,20.0.0-next.1,1
Jan Martin,20.0.0-next.3,2
Jan Martin,19.2.0,1
Jan Martin,19.1.8,1
Jan Martin,20.0.0-next.0,1
Jan Martin,20.0.0-next.2,1
Jan Martin,19.1.3,1
Jan Martin,19.1.6,1
Jan Martin,19.1.7,1
Jan Martin,19.1.5,1
Jan Martin,19.2.0-next.2,1
Jan Martin,19.2.0-next.1,1
Jan Martin,19.2.0-next.3,1
Jan Martin,19.1.4,1
Jan Martin,19.2.0-next.0,1
Jan Martin,19.1.2,1
Vlad Boisa,19.2.3,9
Vlad Boisa,19.2.0-rc.0,4
Vlad Boisa,19.2.1,5
Vlad Boisa,19.2.2,8
Vlad Boisa,20.0.0-next.1,5
Vlad Boisa,20.0.0-next.3,9
Vlad Boisa,19.2.0,4
Vlad Boisa,19.1.8,4
Vlad Boisa,20.0.0-next.0,4
Vlad Boisa,20.0.0-next.2,8
Vlad Boisa,19.1.3,3
Vlad Boisa,19.1.6,3
Vlad Boisa,19.1.7,4
Vlad Boisa,19.1.5,3
Vlad Boisa,19.2.0-next.2,3
Vlad Boisa,19.2.0-next.1,3
Vlad Boisa,19.2.0-next.3,3
Vlad Boisa,19.1.4,3
Vlad Boisa,19.2.0-next.0,3
Vlad Boisa,19.1.2,3
Doug Parker,19.2.3,136
Doug Parker,19.2.0-rc.0,127
Doug Parker,19.2.1,129
Doug Parker,19.2.2,135
Doug Parker,20.0.0-next.1,129
Doug Parker,20.0.0-next.3,139
Doug Parker,19.2.0,127
Doug Parker,19.1.8,127
Doug Parker,20.0.0-next.0,127
Doug Parker,20.0.0-next.2,137
Doug Parker,19.1.3,107
Doug Parker,19.1.6,109
Doug Parker,19.1.7,113
Doug Parker,19.1.5,109
Doug Parker,19.2.0-next.2,109
Doug Parker,19.2.0-next.1,107
Doug Parker,19.2.0-next.3,111
Doug Parker,19.1.4,109
Doug Parker,19.2.0-next.0,113
Doug Parker,19.1.2,107
Angular Robot,19.2.3,612
Angular Robot,19.2.0-rc.0,601
Angular Robot,19.2.1,606
Angular Robot,19.2.2,609
Angular Robot,20.0.0-next.1,608
Angular Robot,20.0.0-next.3,622
Angular Robot,19.2.0,604
Angular Robot,19.1.8,597
Angular Robot,20.0.0-next.0,604
Angular Robot,20.0.0-next.2,613
Angular Robot,19.1.3,582
Angular Robot,19.1.6,589
Angular Robot,19.1.7,594
Angular Robot,19.1.5,587
Angular Robot,19.2.0-next.2,589
Angular Robot,19.2.0-next.1,587
Angular Robot,19.2.0-next.3,593
Angular Robot,19.1.4,585
Angular Robot,19.2.0-next.0,583
Angular Robot,19.1.2,581
William Mba,19.2.3,1
William Mba,20.0.0-next.3,1
Rahat Ahmed,19.2.3,7
Rahat Ahmed,19.2.0-rc.0,6
Rahat Ahmed,19.2.1,6
Rahat Ahmed,19.2.2,6
Rahat Ahmed,20.0.0-next.1,6
